,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
575,0,0,0,0,0,0,1,0,0,1,1,2,4,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,5,2,0,1,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,1,0,0,0,1,3,3,0,1,0,6,3,0,0,1,0,0,0,0,0,0,0
578,0,0,0,0,0,0,1,0,0,2,0,4,2,0,4,0,4,4,0,0,2,0,0,0,1,0,0,0
579,0,0,0,0,0,0,0,0,0,2,2,5,8,0,5,0,7,5,0,1,0,2,0,0,0,0,0,0
580,0,0,0,0,0,0,0,0,0,2,1,3,4,0,3,0,5,4,0,1,1,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0,0,0,1,1,1,5,0,5,0,5,2,0,1,0,0,0,0,0,0,0,0
582,0,0,0,1,0,0,0,0,0,1,0,2,3,0,3,0,4,5,0,1,0,1,0,0,0,0,0,0
583,0,0,0,0,0,0,0,0,0,0,1,3,7,0,2,0,5,2,0,1,3,0,0,0,0,0,0,0
584,0,0,0,0,0,0,0,0,0,2,0,2,6,0,5,0,6,3,0,1,1,0,0,0,0,0,0,0
585,0,0,0,0,0,0,0,0,0,4,2,6,27,4,1,3,28,8,0,2,1,1,0,0,0,0,0,0
586,0,0,0,0,0,0,0,0,0,2,1,8,18,1,4,0,12,4,0,0,1,3,0,0,0,0,0,0
587,0,0,0,0,0,0,0,0,0,2,1,5,14,0,4,0,14,5,0,2,1,1,0,0,0,0,0,0
588,0,0,0,0,0,0,0,0,0,0,0,5,8,0,3,0,4,2,0,0,1,1,0,0,0,0,0,0
589,0,0,0,0,0,0,0,0,0,1,0,3,8,0,4,0,3,1,0,0,2,1,0,0,0,0,0,0
590,0,0,0,0,0,1,0,0,0,1,2,6,5,0,3,0,3,3,0,0,2,1,0,0,0,0,0,0
591,0,0,0,0,0,0,0,0,0,2,1,7,6,0,3,0,6,3,0,0,1,0,1,0,1,0,0,0
592,0,0,0,0,0,0,0,0,0,0,0,5,8,0,3,0,0,2,0,1,0,2,0,0,0,0,0,0
593,0,0,0,0,0,1,1,0,0,1,0,7,7,0,2,0,3,4,0,0,0,1,1,0,0,0,0,0
594,0,0,0,0,0,0,0,0,0,1,0,3,10,0,4,0,10,4,0,0,1,0,0,0,0,0,0,0
595,0,0,0,0,0,1,0,0,0,1,0,6,5,0,2,0,1,3,0,0,0,1,1,0,0,0,0,0
596,0,0,0,0,0,0,0,0,0,0,1,2,9,1,3,1,7,0,0,0,1,1,0,0,0,0,0,0
597,0,0,0,0,0,1,0,0,0,2,0,6,8,0,3,0,5,4,0,0,1,1,0,0,0,0,0,0
598,0,0,0,0,0,0,1,0,0,2,0,2,7,1,2,0,4,5,0,1,0,2,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,3,0,5,15,1,6,0,12,6,0,0,1,0,0,0,0,0,0,0
600,0,0,0,0,0,0,1,0,0,1,1,5,17,2,4,1,10,4,0,0,1,1,0,0,0,0,0,0
601,0,0,0,0,0,0,0,0,0,1,1,1,8,0,2,0,9,1,0,0,0,0,0,0,0,0,0,0
602,0,0,0,0,0,0,1,0,0,1,1,1,5,0,7,1,5,0,0,1,1,1,0,0,0,0,0,0
603,0,0,0,0,0,0,0,0,0,0,1,6,8,0,4,0,5,3,0,0,1,0,0,1,0,0,0,0
604,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0
606,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0
607,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
608,0,0,0,0,0,0,1,0,0,0,0,1,4,0,3,0,5,1,0,0,1,0,0,0,0,0,0,0
609,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
611,0,0,0,0,0,0,0,0,0,0,0,6,10,1,7,0,4,4,0,1,1,1,0,0,0,0,0,0
612,0,0,0,0,0,0,0,0,0,1,2,3,8,2,7,0,9,3,0,0,1,0,0,0,0,0,0,0
613,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0
614,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,1,3,0,1,1,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0
617,0,0,0,2,0,0,0,0,0,0,0,3,11,0,19,0,5,1,0,0,1,1,0,0,0,0,0,0
618,0,0,0,1,0,0,0,0,0,1,1,3,4,0,2,0,6,5,0,1,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
622,0,0,0,1,0,1,0,0,0,1,1,4,8,0,3,0,4,5,0,1,1,0,0,0,1,0,0,0
623,0,0,0,0,0,0,0,0,0,4,2,5,23,4,5,3,23,7,0,2,1,1,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0,0,1,1,9,18,1,5,0,11,4,0,0,1,3,0,0,0,0,0,0
625,0,0,0,0,0,0,0,0,0,2,0,7,13,0,5,0,13,6,0,0,1,2,0,0,0,0,0,0
626,0,0,0,0,0,0,0,0,0,0,0,5,8,0,2,0,4,2,0,0,1,1,0,0,0,0,0,0
627,0,0,0,0,0,0,0,0,0,1,0,5,7,0,5,0,3,2,0,0,0,1,1,0,0,0,0,0
628,0,0,0,0,0,1,0,0,0,1,2,7,6,0,3,0,3,3,0,0,0,2,1,0,0,0,0,0
629,0,0,0,0,0,0,0,0,0,2,0,7,7,1,3,1,5,2,0,0,1,0,1,0,1,0,0,0
630,0,0,0,0,0,0,0,0,0,0,0,5,8,0,3,0,0,2,0,1,0,2,0,0,0,0,0,0
631,0,0,0,0,0,1,1,0,0,1,0,7,7,0,2,0,3,4,0,0,0,1,1,0,0,0,0,0
632,0,0,0,0,0,0,0,0,0,1,0,3,10,0,4,0,10,4,0,0,1,0,0,0,0,0,0,0
633,0,0,0,0,0,1,0,0,0,1,0,6,5,0,2,0,1,3,0,0,0,1,1,0,0,0,0,0
634,0,0,0,0,0,0,0,0,0,0,1,3,9,0,3,0,7,1,0,0,1,1,0,0,0,0,0,0
635,0,0,0,0,0,1,0,0,0,2,0,6,6,0,3,0,4,4,0,0,2,0,0,0,0,0,0,0
636,0,0,0,0,0,0,1,0,0,2,0,3,7,1,2,0,5,6,0,1,1,1,0,0,0,0,0,0
637,0,0,0,0,1,0,0,0,0,3,0,4,15,1,6,0,13,6,0,0,1,0,0,1,0,0,0,0
638,0,0,0,0,0,0,1,0,0,1,0,6,18,3,6,2,9,5,0,0,1,1,0,0,0,0,0,0
639,0,0,0,0,0,0,1,0,0,6,2,14,33,1,2,3,38,13,0,2,2,1,0,0,1,0,0,0
640,0,0,0,0,0,0,2,0,0,1,1,8,21,0,5,1,20,5,0,1,0,0,1,1,0,0,0,0
641,0,0,0,0,0,0,1,0,0,1,1,7,17,0,7,0,18,9,0,1,1,0,0,0,0,0,0,0
