,F#3,G#3,A3,A#3,B3,C#4,C##4,D#4,E4,F#4,G#4,A4,A#4,B4,C#5,D#5,E5,F#5,G#5,A5,A#5,B5,C#6
745,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
746,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
747,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
748,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
777,0,0.0,0,0,0.0,1.0,0,0.0,1.0,2.0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0,0,0,0,0
778,0,0.0,0,0,0.0,3.0,0,0.0,2.5,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
779,0,0.0,0,0,0.0,0.5,0,0.0,1.5,3.0,1.0,0.0,0,1.0,0.0,0,0.0,0.0,0,0,0,0,0
780,0,0.0,0,0,0.0,1.5,0,0.0,8.0,1.5,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
924,0,0.0,0,0,1.0,1.0,0,0.0,4.0,0.5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
925,0,0.0,0,0,0.0,0.75,0,0.0,3.5,1.75,3.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
926,0,0.0,0,0,0.0,1.0,0,0.0,4.0,3.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
971,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.75,0.0,0,5.0,1.25,0,1.0,0.0,0,0,0,0,0
972,0,0.0,0,0,0.0,0.5,0,0.0,3.75,2.75,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
973,0,0.0,0,0,0.0,1.5,0,0.0,1.75,2.25,3.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
974,0,0.0,0,0,0.0,0.0,0,0.0,2.0,1.5,1.5,0.0,0,3.5,0.0,0,0.0,0.0,0,0,0,0,0
985,0,0.0,0,0,0.0,2.5,0,0.0,1.5,1.5,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
986,0,0.0,0,0,0.0,1.0,0,0.0,3.0,1.5,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
987,0,0.0,0,0,0.0,1.75,0,0.0,1.75,2.0,2.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
988,0,0.0,0,0,0.0,2.0,0,0.0,2.5,2.0,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
989,0,0.0,0,0,0.0,1.0,0,0.0,2.0,2.5,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
990,0,0.0,0,0,0.0,2.0,0,0.0,3.5,1.5,1.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0
