,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
608,0,0,0,0,0,0,1,0,0,0,0,1,4,0,3,0,5,1,0,0,1,0,0,0,0,0,0,0
609,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
611,0,0,0,0,0,0,0,0,0,0,0,6,10,1,7,0,4,4,0,1,1,1,0,0,0,0,0,0
612,0,0,0,0,0,0,0,0,0,1,2,3,8,2,7,0,9,3,0,0,1,0,0,0,0,0,0,0
613,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0
614,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,1,3,0,1,1,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0
617,0,0,0,2,0,0,0,0,0,0,0,3,11,0,19,0,5,1,0,0,1,1,0,0,0,0,0,0
618,0,0,0,1,0,0,0,0,0,1,1,3,4,0,2,0,6,5,0,1,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
622,0,0,0,1,0,1,0,0,0,1,1,4,8,0,3,0,4,5,0,1,1,0,0,0,1,0,0,0
651,0,0,0,0,0,0,0,0,0,1,0,3,10,0,5,0,8,3,0,1,0,0,0,0,1,0,0,0
652,0,0,0,0,0,0,0,0,0,1,0,1,8,0,3,0,7,2,0,1,1,0,0,0,0,0,0,0
653,0,0,0,0,0,0,0,0,0,1,0,3,9,0,1,0,8,6,0,3,2,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,4,1,0,1,2,0,0,0,0,0,0,0
655,0,0,0,0,1,2,0,0,0,1,0,2,3,0,1,0,3,3,0,1,2,0,1,0,0,0,0,0
656,0,0,0,1,0,0,0,0,0,3,0,5,9,0,6,0,5,5,0,0,2,2,1,0,0,0,0,0
657,0,0,0,0,0,0,0,0,0,2,1,3,9,0,3,0,8,2,0,2,1,0,0,0,0,0,0,0
658,0,0,0,0,0,0,0,0,0,2,0,2,5,0,3,0,3,2,0,0,0,1,0,0,0,0,0,0
659,0,0,0,0,0,1,1,0,0,1,1,0,2,0,2,0,5,2,0,1,0,0,0,0,0,0,0,0
660,0,0,0,0,0,0,1,0,0,0,0,3,4,0,4,0,3,4,0,1,0,0,0,0,0,0,0,0
661,0,0,0,0,0,0,1,0,0,0,0,1,3,0,5,0,3,1,0,0,1,0,0,0,0,0,0,0
662,0,0,0,0,0,0,0,0,0,1,1,3,10,0,2,0,11,6,0,2,0,0,0,0,0,0,0,0
689,0,0,0,0,0,0,0,0,0,1,1,2,5,1,5,0,6,3,0,0,0,0,0,0,0,0,0,0
690,0,0,0,0,0,0,0,0,0,1,0,2,4,0,2,0,2,2,0,0,1,1,0,0,0,0,0,0
691,0,0,0,0,0,0,0,0,0,2,0,6,12,0,7,0,7,5,0,1,3,2,0,0,0,0,0,0
692,0,0,0,0,0,0,0,0,0,2,0,4,5,0,3,0,3,5,0,0,2,0,0,0,0,0,0,0
751,0,0,0,0,0,0,0,0,0,0,2,1,4,2,5,1,4,1,0,0,1,0,0,0,0,0,0,0
752,0,0,0,0,0,0,0,0,0,2,1,5,2,0,3,0,3,3,0,0,0,2,0,0,0,0,0,0
753,0,0,0,0,0,0,0,0,0,2,1,4,7,0,2,0,5,3,0,0,0,2,0,0,0,0,0,0
754,0,0,0,0,0,0,0,0,0,1,0,5,7,0,3,0,4,5,0,1,2,0,0,0,0,0,0,0
781,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,6,0,0,0,2,0,0,0,0,0,0,0
782,0,0,0,0,1,0,0,0,0,0,1,3,2,1,2,1,6,4,0,1,0,0,0,0,0,0,0,0
783,0,0,0,0,0,0,0,0,0,0,1,2,3,0,4,0,4,2,0,1,1,0,0,0,0,0,0,0
784,0,0,0,0,0,0,0,0,0,1,1,2,6,1,1,1,6,2,0,1,2,0,0,0,0,0,0,0
785,0,0,0,0,0,0,1,0,0,0,0,2,10,0,2,0,7,2,0,2,0,0,0,0,0,0,0,0
786,0,0,0,0,0,0,0,0,0,2,0,5,8,0,3,0,5,5,0,0,0,2,0,0,0,0,0,0
787,0,0,0,0,0,0,0,0,0,0,1,2,4,0,2,0,3,1,0,1,1,0,0,0,0,0,0,0
788,0,0,0,0,1,0,0,0,0,0,1,2,3,1,3,1,8,3,0,1,0,0,0,0,0,0,0,0
789,0,0,0,0,0,0,0,0,0,0,1,1,5,0,3,0,5,1,0,0,0,1,0,0,0,0,0,0
790,0,0,0,0,0,0,1,0,0,2,1,2,4,0,4,0,4,4,0,1,1,1,0,0,0,0,0,0
791,0,0,0,0,0,0,1,0,0,1,0,1,7,0,3,0,7,2,0,0,0,0,0,0,0,0,0,0
792,0,0,0,0,0,0,0,0,0,1,1,2,5,0,1,0,4,4,0,1,1,0,0,0,0,0,0,0
793,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0
