,F#3,G#3,A3,A#3,B3,C#4,C##4,D#4,E4,F#4,G#4,A4,A#4,B4,C#5,D#5,E5,F#5,G#5,A5,A#5,B5,C#6
51,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.75,0.0,0.0,4.75,3.5,2.875,0.875,1.25,0.0,0,0.0,0.0,0
52,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.875,0.0,0.0,2.75,3.25,0.875,3.0,0.75,0.5,0,0.0,0.0,0
53,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.375,3.875,0.5,1.0,0.0,0,0.0,0.0,0
54,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,2.75,0.0,0.0,4.875,9.0,3.625,2.875,2.375,0.0,0,0.0,0.0,0
55,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.75,0.0,0.0,3.5,6.75,3.0,1.25,3.5,0.75,0,0.0,0.0,0
56,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.25,0.0,6.5,11.125,4.75,5.375,6.75,1.125,0,0.0,0.0,0
57,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.625,1.125,1.0,0.0,7.625,10.25,3.25,1.75,4.0,0.75,0,0.0,0.0,0
58,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,7.25,0.625,0.0,11.375,15.125,5.75,4.5,1.75,0.0,0,0.0,0.0,0
59,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,2.5,0.625,0.0,3.875,4.25,1.875,2.0,3.875,1.0,0,0.0,0.0,0
60,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,2.875,0.125,0.0,3.625,1.875,0.875,1.75,0.375,0.0,0,0.0,0.0,0
61,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.5,0.0,0.0,3.25,3.625,2.125,0.375,1.375,0.0,0,0.0,0.0,0
62,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,3.125,0.0,0.0,3.625,2.5,0.25,1.625,0.875,0.0,0,0.0,0.0,0
63,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.75,0.0,0.0,3.375,3.25,1.75,0.0,3.0,0.125,0,0.0,0.0,0
64,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,4.375,0.0,0.0,7.125,10.25,3.5,2.25,3.375,0.5,0,0.0,0.0,0
65,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.5,0.0,7.125,7.875,1.625,1.375,2.375,1.0,0,0.0,0.0,0
66,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.25,0.0,8.125,9.875,4.75,5.875,3.625,0.5,0,0.0,0.0,0
67,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,1.875,1.375,0.0,7.125,7.75,8.75,2.375,3.0,0.5,0,0.0,0.0,0
68,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.75,0.0,0.0,6.875,5.875,2.25,3.0,0.75,0.0,0,0.0,0.0,0
69,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,2.625,2.25,2.125,0.875,2.875,0.0,0,0.0,0.0,0
70,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,2.375,0.0,0.0,1.125,2.0,0.25,2.75,0.875,0.875,0,0.0,0.0,0
71,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,3.0,0.5,0.0,3.25,4.125,2.25,0.5,1.125,0.0,0,0.0,0.0,0
72,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,3.625,0.0,0.0,5.625,11.375,3.375,1.875,1.125,0.0,0,0.0,0.0,0
73,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,3.5,1.375,0.0,7.75,3.875,1.5,1.5,2.0,0.5,0,0.0,0.0,0
88,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.25,0.0,0.0,8.125,6.5,4.375,4.0,2.5,0.0,0,0.0,0.0,0
89,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.625,0.625,1.5,0.25,0.0,7.0,5.375,8.875,1.9375,2.8125,0.25,0,0.0,0.0,0
120,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.5,0.0,0.0,10.0,9.625,4.0,4.25,2.625,0.5,0,0.0,0.0,0
121,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.75,2.375,0.5,0.0,5.75,8.5,7.625,2.25,2.375,0.625,0,0.0,0.0,0
122,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,5.5,1.0,4.25,0.5,0.0,0,0.0,0.0,0
123,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,4.25,2.5,2.625,0.0,1.5,0.125,0,0.0,0.0,0
124,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,3.25,0.0,0.0,3.0,2.0,0.5,2.0,0.0,0.0,0,0.0,0.0,0
125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.375,1.875,0.5,0.0,4.75,4.375,3.0,0.5,2.375,0.5,0,0.0,0.25,0
126,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,8.875,0.0,0.0,7.125,10.625,4.875,1.375,2.875,0.875,0,0.0,0.0,0
127,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.25,0.0,0.0,7.5,8.625,3.625,1.5,2.0,0.75,0,0.0,0.0,0
128,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,6.5,4.5,1.875,6.0,0.625,0.0,0,0.0,0.0,0
129,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,3.875,0.0,0.0,9.0,7.125,2.5,1.25,1.25,0.0,0,0.0,0.0,0
130,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.75,0.0,0.0,5.0,5.875,1.0,6.375,0.25,0.25,0,0.0,0.0,0
131,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.75,0.0,0.0,2.75,2.125,4.375,0.5,2.0,0.0,0,0.0,0.0,0
132,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,3.75,0.0,0.0,3.25,2.25,0.0,1.25,0.25,0.0,0,0.0,0.0,0
133,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.75,5.5,0.0,0.0,12.0,9.5,3.5,3.625,4.625,0.0,0,0.0,0.0,0
166,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.375,0.0,0.0,10.125,9.25,4.5,4.25,4.25,0.625,0,0.0,0.0,0
167,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.625,0.0,0.0,7.75,8.0,6.5,2.875,5.125,0.875,0,0.125,0.0,0
168,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.125,7.625,0.0,0.0,10.375,14.625,5.375,3.5,2.0,0.25,0,0.0,0.0,0
169,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,2.75,0.0,0.5,4.75,5.5,2.0,1.25,2.5,0.5,0,0.0,0.0,0
194,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.875,2.125,3.625,1.375,0.0,6.75,4.875,1.125,3.625,2.875,0.125,0,0.0,0.0,0
195,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,2.0,0.0,0.0,4.125,6.5,2.5,3.875,2.375,1.125,0,0.0,0.125,0
196,0.0,0.0,0.0,0,0.0,1.0,0,0.875,1.75,1.4375,2.3125,0.375,0.0,5.625,4.625,1.625,2.25,2.375,0.125,0,0.0,0.0,0
197,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,2.625,1.625,1.25,4.125,2.25,0.0,0,0.0,0.0,0
198,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.5,4.125,1.375,0.0,7.125,4.625,1.0,2.5,0.0,0.0,0,0.0,0.0,0
263,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,3.25,0.0,0.0,5.25,7.25,2.75,1.75,1.5,0.0,0,0.0,0.0,0
264,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.5,5.0,0.0,2.0,6.125,5.875,1.25,3.625,2.625,0.0,0,0.0,0.0,0
265,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.5,0.0,0.25,6.0,7.625,6.375,1.75,1.75,0.0,0,0.0,0.0,0
266,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.25,4.625,0.0,1.5,5.75,4.625,1.0,2.25,0.0,0.0,0,0.0,0.0,0
267,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.75,0.0,0.0,5.25,8.75,2.75,1.5,1.75,0.0,0,0.0,0.0,0
268,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.75,3.75,0.0,1.125,6.0,5.375,1.5,4.75,1.875,0.0,0,0.0,0.0,0
269,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,5.375,0.0,0.0,5.875,8.75,3.625,2.25,3.0,0.5,0,0.0,0.0,0
270,0.0,0.0,0.0,0,0.0,0.25,0,0.0,3.25,3.75,9.25,1.25,0.0,4.875,3.75,1.0,2.5,0.0,0.0,0,0.0,0.0,0
271,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,5.625,0.0,0.0,3.875,9.125,3.5,0.5,3.125,0.0,0,0.0,0.0,0
272,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,2.375,0.0,0.0,7.875,5.25,1.5,3.0,1.625,0.0,0,0.0,0.0,0
273,0.0,0.0,0.0,0,0.0,1.125,0,0.125,2.75,4.5,4.375,0.0,0.0,4.5,3.75,1.75,0.5,1.75,0.25,0,0.0,0.0,0
274,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.5,5.125,0.0,1.375,6.5,5.25,1.0,2.5,0.0,0.0,0,0.0,0.0,0
347,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.375,0.0,0.0,3.75,8.875,3.0,1.5,1.0,0.0,0,0.0,0.0,0
348,0.0,0.0,0.0,0,0.0,0.25,0,0.0,2.625,3.25,5.5,1.375,0.0,3.25,3.375,1.0,2.75,0.75,0.0,0,0.0,0.0,0
349,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.125,0.0,2.25,2.5,1.875,3.0,0.0,0.0,0,0.0,0.0,0
350,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,4.625,0.5,0.0,6.5,3.875,1.0,2.75,0.0,0.0,0,0.0,0.0,0
351,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.375,0.0,0.0,4.625,7.375,3.875,1.0,2.0,0.25,0,0.0,0.0,0
352,0.0,0.0,0.0,0,0.0,0.25,0,0.125,2.5,4.125,8.0,1.0,0.0,5.25,3.375,1.125,3.0,0.0,0.0,0,0.0,0.0,0
353,0.0,0.0,0.0,0,0.0,1.375,0,0.0,1.375,5.0,6.25,1.0,0.0,3.75,4.5,2.25,2.5,0.5,0.5,0,0.0,0.0,0
354,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,4.75,0.5,0.0,4.5,4.25,1.0,3.0,0.0,0.0,0,0.0,0.0,0
391,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.625,0.0,0.0,5.75,9.125,3.125,2.5,0.625,0.0,0,0.0,0.0,0
392,0.0,0.0,0.0,0,0.0,0.25,0,0.0,2.75,3.625,7.875,1.625,0.0,5.625,2.25,1.0,3.0,0.0,0.0,0,0.0,0.0,0
393,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.875,0.0,0.0,3.375,2.25,2.0,3.75,0.0,0.0,0,0.0,0.0,0
394,0.0,0.0,0.0,0,0.0,0.25,0,0.25,3.125,3.0,3.75,0.0,0.0,7.0,3.125,1.5,2.5,0.0,0.0,0,0.0,0.0,0
429,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.125,3.125,0.0,0.0,6.5,10.25,4.125,2.5,1.5,0.0,0,0.0,0.0,0
430,0.0,0.0,0.0,0,0.125,0.875,0,0.25,2.875,5.25,6.125,3.125,0.0,9.125,6.5,1.5,3.625,1.5,0.0,0,0.0,0.0,0
431,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,5.25,10.125,6.125,2.0,1.0,0.25,0,0.0,0.0,0
432,0.0,0.0,0.0,0,0.125,0.375,0,0.0,3.0,2.625,10.25,1.75,0.0,6.125,5.875,1.125,2.0,0.5,0.0,0,0.0,0.0,0
433,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.5,0.0,0.0,5.0,8.0,5.0,2.5,0.0,0.0,0,0.0,0.0,0
435,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.625,0.125,0.0,5.75,8.4375,2.9375,1.75,3.125,0.0,0,0.0,0.0,0
436,0.0,0.0,0.0,0,0.0,0.375,0,0.25,2.375,4.125,8.875,1.0,0.0,4.75,5.0,1.0,2.75,1.5,0.0,0,0.0,0.0,0
437,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.625,0.0,0.0,5.5625,7.25,4.875,2.5625,4.0,0.375,0,0.0,0.0,0
438,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.125,3.75,1.75,0.0,8.5,6.75,1.75,2.75,2.125,0.0,0,0.0,0.0,0
439,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.625,0.0,0.0,3.375,4.5,1.625,3.125,2.625,1.125,0,0.0,0.0,0
440,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.75,2.875,0.0,0.0,8.5,5.375,1.125,1.625,0.0,0.0,0,0.0,0.0,0
441,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.125,0.0,0.0,3.375,6.0,1.5,2.875,1.875,0.0,0,0.0,0.0,0
442,0.0,0.0,0.0,0,0.0,0.625,0,0.125,3.875,3.5,8.125,1.25,0.0,4.625,2.875,1.0,3.0,1.0,0.0,0,0.0,0.0,0
443,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.125,0.0,0.0,5.625,10.25,4.75,1.5,1.25,0.0,0,0.0,0.0,0
444,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,4.25,0.75,0.0,6.375,4.625,1.0,2.0,0.75,0.0,0,0.0,0.0,0
445,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.125,0.0,0.0,3.375,10.75,3.75,0.5,3.25,0.0,0,0.0,0.0,0
446,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2.125,3.5,1.625,0.0,7.625,7.75,1.25,3.25,1.125,0.0,0,0.0,0.0,0
447,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.625,3.875,4.875,1.0,0.0,6.875,12.0,4.75,1.5,1.25,0.0,0,0.0,0.0,0
448,0.0,0.0,0.0,0,0.0,0.5,0,0.0,1.25,3.4375,8.8125,0.75,0.0,5.875,4.625,1.125,3.0,0.0,0.0,0,0.0,0.0,0
449,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,5.0,0.0,0.0,2.5,5.375,1.875,1.0,0.5,0.0,0,0.0,0.0,0
450,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.75,5.0,0.75,0.0,5.875,4.625,1.0,4.25,0.0,0.0,0,0.0,0.0,0
470,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.4375,0.0,0.0,7.5625,8.875,3.25,4.5,3.375,0.25,0,0.0,0.0,0
471,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.25,2.125,0.375,0.0,5.75,6.25,5.75,2.25,4.0,1.75,0,0.0,0.0,0
472,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.833333333333333,0.0,0.0,10.791666666666668,10.5,5.875,3.0,3.625,0.125,0,0.0,0.0,0
473,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.75,1.8333333333333335,0.0,0.0,3.6666666666666665,4.25,3.0,0.75,3.0,2.25,0,0.0,0.0,0
477,0.0,0.25,0.0,0,4.5,7.5,0,1.25,6.0,6.75,5.625,0.75,0.0,3.375,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
478,0.0,0.5,0.0,0,1.5,3.25,0,2.25,1.5,4.75,3.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
479,0.0,0.5,0.0,0,1.0,1.75,0,1.0,3.5,5.0,4.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
480,0.0,1.25,0.0,0,3.0,3.0,0,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
481,0.0,1.25,0.0,0,2.25,7.5,0,0.75,2.5,2.75,4.0,0.0,0.0,2.75,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0
482,0.0,0.0,0.0,0,2.5,3.5,0,0.5,5.25,9.25,7.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
505,0.0,1.0,0.0,0,4.25,6.0,0,1.25,6.5,7.75,3.5,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
506,0.5,3.75,0.5,0,5.75,5.0,0,2.75,2.0,6.75,2.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
507,0.0,1.75,0.0,0,4.75,4.0,0,2.0,3.0,2.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
508,0.5,1.25,0.0,0,8.0,4.25,0,3.5,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
509,0.0,1.0,0.0,0,4.25,7.375,0,2.125,9.25,8.625,3.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
510,0.75,2.5,0.0,0,5.75,5.5,0,2.75,0.75,12.5,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
511,0.0,3.25,0.0,0,7.5,16.25,0,7.0,2.75,2.25,1.25,0.75,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0
585,0.0,0.0,0.0,0,3.0,10.0,0,2.75,5.0,6.5,8.125,1.5,0.0,1.875,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
586,0.75,1.5,0.5,0,5.5,4.5,0,6.0,1.75,5.5,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
