,P-11,m-10,P-8,m-7,M-6,m-6,P-5,A-4,d-5,P-4,M-3,m-3,M-2,m-2,P1,m2,M2,m3,A2,M3,P4,P5,m6,M6,m7,P8,M9,m10
1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
1008,0,0,0,1,0,0,0,0,0,2,0,1,3,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0
1009,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,1,0,0,2,0,1,3,0,2,0,2,1,0,0,0,2,0,0,0,0,0,0
1011,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
1012,0,0,0,0,0,0,1,0,0,2,0,0,4,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0
1013,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0
1014,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
1015,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
1016,0,0,0,1,0,0,0,0,0,3,0,1,1,0,1,0,2,2,0,0,0,1,0,0,1,0,0,0
1017,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0
1018,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1019,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0
1021,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1022,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1023,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
1024,0,0,0,0,0,0,0,0,0,3,0,2,5,0,0,1,3,2,0,1,1,1,0,0,0,0,0,0
1025,0,0,0,0,0,1,0,0,0,1,0,1,3,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0
1026,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1027,0,0,0,0,0,0,1,0,0,1,0,0,3,1,2,1,6,1,0,0,0,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
